codigo_convenio;nome_convenio;novo_com_seguro;novo_sem_seguro;refin_com_seguro;refin_sem_seguro
30;MUNICIPIO DE CHAPADAO DO SUL;"[{""tx"": 2.06, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.16, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.26, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.36, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.46, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.06, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.16, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.26, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.36, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.46, ""com"": 4.0, ""pz"": ""96""}]"
97;TRIBUNAL REGIONAL ELEITORAL DO RIO DE JANEIRO;"[{""tx"": 2.14, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.24, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.44, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.54, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.34, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.44, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.54, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.64, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.74, ""com"": 4.0, ""pz"": ""96""}]"
125;TRIBUNAL REGIONAL DO TRABALHO DA 2A REGIAO;"[{""tx"": 1.95, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.0, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.1, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.2, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.3, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 1.95, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.0, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.1, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.2, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.3, ""com"": 4.0, ""pz"": ""96""}]"
127;TRIBUNAL REGIONAL DO TRABALHO DA 01A REGIAO;"[{""tx"": 1.94, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 1.99, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.09, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.19, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.29, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 1.94, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 1.99, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.09, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.19, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.29, ""com"": 4.0, ""pz"": ""96""}]"
145;MINISTERIO PUBLICO DO ESTADO DO AMAPA;"[{""tx"": 2.3, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.4, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.5, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.6, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.7, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.36, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.46, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.56, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.66, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.76, ""com"": 4.0, ""pz"": ""96""}]"
191;TRIBUNAL DE JUSTICA DO ESTADO DO PARA;"[{""tx"": 1.94, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.04, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.14, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.24, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 1.94, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.04, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.14, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.24, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 4.0, ""pz"": ""96""}]"
279;TRIBUNAL REGIONAL ELEITORAL DO RIO GRANDE DO SUL;"[{""tx"": 2.25, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.3, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.4, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.5, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.6, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.25, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.3, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.4, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.5, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.6, ""com"": 4.0, ""pz"": ""96""}]"
438;MINISTERIO DA AERONAUTICA;"[{""tx"": 2.4, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.45, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.55, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.65, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.75, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.4, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.45, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.55, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.65, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.75, ""com"": 4.0, ""pz"": ""96""}]"
853;GOVERNO DO ESTADO DO AMAPA;"[{""tx"": 2.29, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.39, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.49, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.59, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.69, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.29, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.39, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.49, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.59, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.69, ""com"": 4.0, ""pz"": ""96""}]"
862;TRIBUNAL REGIONAL DO TRABALHO 14A REGIAO;"[{""tx"": 1.99, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.04, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.14, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.24, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 1.99, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.04, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.14, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.24, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 4.0, ""pz"": ""96""}]"
